Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Spoofs Images,Hide image?,Spoof Category,Caption,Featured?,Author Credit
Mac Kids,mac-kids,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae66,false,false,Sat Jan 09 2021 00:26:41 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:26:41 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f834e17726f4d0153b7b_food_fight_6_600px.jpg,false,CORPO,,false,
Mac shit,mac-shit,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae61,false,false,Sat Jan 09 2021 00:24:15 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:24:15 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f7a005a29ee9ee3038b1_food_fight_1_600px.jpg,false,CORPO,,false,
Marlboro Country,marlboro-country,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae69,false,false,Wed Jan 13 2021 17:53:12 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:21:10 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3a123cb402e568e61dc3_philip_morris_2_600px.jpg,false,CORPO,,false,
Max Temkin Plastic Spoon,max-temkin-plastic-spoon,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adc6,false,false,Tue Dec 29 2020 21:35:18 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:35:18 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feba10097cb065454b2f364_MaxTemkin_PlasticSpoon.jpg,false,ECOLOGICAL,,false,
Mc,mc,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adc7,false,false,Tue Dec 29 2020 21:36:42 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 20:41:38 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feba161489ca97a575705ac_Mc.jpg,false,CORPO, “tear down those arches” ,false,
Mental Liberation Front #149,mental-liberation-front-149,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042af08,false,false,Fri Apr 30 2021 21:41:06 GMT+0000 (Coordinated Universal Time),Wed May 05 2021 22:48:59 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/608c7906df940a17e86561e0_we_take_our_mental_space_back_MLF_600x750.jpg,false,POLITICAL,Mental Liberation Front - Featured in Adbusters #149,false,
Ms. Wonder Woman for president.,ms-wonder-woman-for-president,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae81,false,false,Wed Jan 13 2021 18:03:25 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:23:29 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3a9c0f16f4f569eac79f_political_3_600px.jpg,false,POLITICAL,,false,
Name these,name-these,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adc8,false,false,Tue Dec 29 2020 21:37:01 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:37:01 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feba174fa050a3e02254d57_Namethese.jpg,false,CORPO,,false,
Name these.,name-these-2,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae58,false,false,Sat Jan 09 2021 00:16:43 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 20:27:05 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f5e105a29e2232303706_eco_9_600px.jpg,false,POLITICAL,“commodity fetishism in a nutshell” ,false,
Neoclassical Economics,neoclassical-economics,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae3b,false,false,Sat Jan 09 2021 00:11:23 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 20:30:53 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f49bc34e6338235c0713_dysmal_science_3_600px.jpg,false,ECONOMIC,"""economics is a religion""",false,
